Company,File No.,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
"Oxford Health Plans (CT), Inc",802695,06/11/2018,06/22/2018,Group Health,Anesthesia,Unfair Claims Practice,Eligibility of Provider,Contract Provision,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",802748,06/13/2018,08/06/2018,Group Health,Radiology,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Furnished Information,0.00,Closed
Metropolitan Property and Casualty Insurance Company,801230,03/14/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
National Casualty Company,805048,10/25/2018,12/05/2018,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
GEICO General Insurance Company,900621,02/06/2019,02/27/2019,,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
State Automobile Mutual Insurance Company,805485,11/21/2018,12/05/2018,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Offer,Claim Settled,Unjustified,0.00,Closed
Hartford Insurance Company of the Midwest,801416,03/22/2018,04/03/2018,Homeowners,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",801199,03/12/2018,04/03/2018,Group Health,No SubCov - AH,Utilization Review,Medical Necessity,Insufficient Information,No Action Necessary,0.00,Closed
Wesco Insurance Company,804626,09/28/2018,10/26/2018,Commercial Multi-Peril,,Marketing/Sales,Policy Service Delay,Company Position Upheld,Unjustified,0.00,Closed
American General Life Insurance Company,805036,10/24/2018,11/16/2018,,,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,0.00,Closed
Time Insurance Company II,504817,10/20/2015,11/16/2015,Individual Life,Term Life,Marketing/Sales,Policy Service Delay,Company Position Upheld,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,801393,03/21/2018,04/03/2018,Auto,,Premium and Rating,Excessive Charges,Company Position Upheld,Unjustified,0.00,Closed
American General Life Insurance Company,805036,10/24/2018,11/16/2018,Individual Long Term Care,No SubCov - AH,Unfair Claims Practice,Claim Delays,Claim Settled,Furnished Information,0.00,Closed
Old Dominion Insurance Company,801269,03/15/2018,04/03/2018,Auto Physical Damage,,Unfair Claims Practice,Loss of Use,Contract Provision,Unjustified,0.00,Closed
Allstate Fire and Casualty Insurance Company,900689,02/11/2019,02/27/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
Main Street America Assurance Company,801179,03/09/2018,04/03/2018,Commercial Multi-Peril,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Allianz Life Insurance Company of North America,800775,02/14/2018,04/03/2018,Individual Annuity,Equity Indexed Annuity,Marketing/Sales,Other [Enter Sub-Reason],Corrective Action,Justified,1673.87,Closed
United Services Automobile Association,801232,03/14/2018,04/03/2018,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Time Insurance Company II,501631,04/07/2015,05/06/2015,Group/Association Trust,Out-Patient,Unfair Claims Practice,Carrier Never Rec'd Claim,Claim Settled,Furnished Information,159.00,Closed
Harleysville Mutual Insurance Company,805326,11/13/2018,12/06/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Refer To Appraisal,Unjustified,0.00,Closed
LM General Insurance Company,801311,03/16/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Subrogation,Claim Settled,Unjustified,0.00,Closed
Time Insurance Company II,503334,07/17/2015,08/06/2015,Individual Health,No SubCov - AH,Premium and Rating,Premium/Notice,Cancellation Upheld,Furnished Information,0.00,Closed
Reliance Standard Life Insurance Company,801181,03/09/2018,04/03/2018,Group Health,No SubCov - AH,Marketing/Sales,Policy Service Delay,Claim Settled,Furnished Information,0.00,Closed
Main Street America Assurance Company,801179,03/09/2018,04/03/2018,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Aetna Life Insurance Company,801380,03/20/2018,04/03/2018,A & H,Maternity,Unfair Claims Practice,Provider Contract Issue,Furnished Information,Furnished Information,0.00,Closed
Philadelphia Indemnity Insurance Company,801311,03/16/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Questionable,0.00,Closed
Amica Mutual Insurance Company,900551,02/04/2019,02/27/2019,Auto,,Marketing/Sales,Unfair Discrimination,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",804467,09/20/2018,10/04/2018,Individual Health,Mammogram,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
Atain Specialty Insurance Company,802784,06/15/2018,08/07/2018,,,Underwriting,Non-Renewal,Other [Enter Disposition],Justified,0.00,Closed
Century-National Insurance Company,900697,02/13/2019,02/27/2019,Auto Liability,,Unfair Claims Practice,Storage Fees,Refer-Judicial/Attorney,Unjustified,0.00,Closed
United Services Automobile Association,801232,03/14/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Brighthouse Life Insurance Company,801246,03/14/2018,04/03/2018,,,Premium and Rating,Premium/Rate Increase,Company Position Upheld,Furnished Information,0.00,Closed
Twin City Fire Insurance Company,801597,04/02/2018,04/03/2018,Commercial Multi-Peril,,Underwriting,Non-Renewal,Record Only,No Action Necessary,0.00,Closed
"ConnectiCare Insurance Company, Inc",801313,03/16/2018,04/03/2018,Individual Health,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Pol Restored/Reinstated,Voluntary Reconsider,0.00,Closed
Reliance Standard Life Insurance Company,801181,03/09/2018,04/03/2018,,,Marketing/Sales,Policy Service Delay,Claim Settled,Furnished Information,0.00,Closed
ConnectiCare Inc,804951,10/18/2018,10/30/2018,Individual Health,No SubCov - AH,Underwriting,Cancellation,Furnished Information,Voluntary Reconsider,1217.68,Closed
"ConnectiCare Insurance Company, Inc",804467,09/20/2018,10/04/2018,,,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
GEICO General Insurance Company,805367,11/14/2018,12/06/2018,Auto Physical Damage,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Hartford Life and Accident Insurance Company,900694,02/11/2019,02/27/2019,Group Disability Income,Long Term Group,Unfair Claims Practice,Claim Procedure,Claim Settled,Furnished Information,0.00,Closed
Time Insurance Company II,503334,07/17/2015,08/06/2015,,,Premium and Rating,Premium/Notice,Cancellation Upheld,Furnished Information,0.00,Closed
UnitedHealthcare Insurance Company,801159,03/08/2018,04/03/2018,,,Utilization Review,Medical Necessity,Claim Settled,Voluntary Reconsider,2427.00,Closed
Time Insurance Company II,601394,03/23/2016,06/14/2016,Individual Health,Lab Services,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
ConnectiCare Inc,803459,07/26/2018,08/27/2018,Group Health,Colonoscopy,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,618.46,Closed
Metropolitan Life Insurance Company,805497,11/23/2018,12/06/2018,Individual Long Term Care,Long Term Individual,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Atain Specialty Insurance Company,802784,06/15/2018,08/07/2018,General Liability,,Underwriting,Non-Renewal,Other [Enter Disposition],Justified,0.00,Closed
State Farm Mutual Automobile Insurance Company,804774,10/10/2018,12/06/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Corrective Action,Justified,1702.84,Closed
CSAA Fire & Casualty Insurance Company,803386,07/24/2018,08/07/2018,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Stillwater Insurance Company,803215,07/12/2018,08/07/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Claim Settled,Justified,272.55,Closed
Central Mutual Insurance Company,805289,11/09/2018,12/06/2018,Homeowners,,Underwriting,Cancellation,Cancellation Upheld,Unjustified,0.00,Closed
Time Insurance Company II,505247,11/17/2015,12/01/2015,Group Health,No SubCov - AH,Premium and Rating,Premium/Notice,Cancellation Upheld,Furnished Information,0.00,Closed
Talcott Resolution Life Insurance Company,703688,08/14/2017,09/06/2017,Group Life,Term Life,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
John Hancock Life Insurance Company (USA),805568,11/28/2018,12/06/2018,Individual Annuity,Fixed Annuity,Unfair Claims Practice,Claim Procedure,Corrective Action,Unjustified,0.00,Closed
"Sentinel Insurance Company, Ltd",805318,11/13/2018,12/06/2018,Auto Liability,,Unfair Claims Practice,Labor Rate,Company Position Upheld,Unjustified,0.00,Closed
Minnesota Life Insurance Company,804460,09/19/2018,10/04/2018,Group/Association Trust,Other,Marketing/Sales,No Subreason,Company Position Upheld,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",805373,11/14/2018,12/06/2018,Group Disability Income,In-Patient,Unfair Claims Practice,Eligibility of Provider,Furnished Information,Furnished Information,0.00,Closed
"Cigna HealthCare of Connecticut, Inc",801484,03/26/2018,04/03/2018,Dental,Dental,Unfair Claims Practice,Provider Contract Issue,Complaint Withdrawn,No Action Necessary,0.00,Closed
Brighthouse Life Insurance Company,801246,03/14/2018,04/03/2018,Individual Health,Long Term Individual,Premium and Rating,Premium/Rate Increase,Company Position Upheld,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",801234,03/14/2018,04/03/2018,Exchange-Individual Hlth,Behavl Hlth/Subst Abuse,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
Time Insurance Company II,500530,02/06/2015,03/10/2015,Group/Association Trust,Colonoscopy,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
Encompass Indemnity Company,801474,03/26/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Unjustified,0.00,Closed
Truck Insurance Exchange,803394,07/24/2018,08/07/2018,Homeowners,,Premium and Rating,Premium/Notice,Corrective Action,Unjustified,3.52,Closed
"Anthem Health Plans, Inc",804501,09/21/2018,10/04/2018,Exchange-Individual Hlth,No SubCov - AH,Premium and Rating,Premium/Notice,Satisfied,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",801199,03/12/2018,04/03/2018,,,Utilization Review,Medical Necessity,Insufficient Information,No Action Necessary,0.00,Closed
Standard Fire Insurance Company (The),801406,03/21/2018,04/03/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"ConnectiCare Benefits, Inc.",802612,06/05/2018,06/27/2018,Individual Health,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Satisfied,Furnished Information,0.00,Closed
Time Insurance Company II,603468,07/28/2016,09/12/2016,Exchange-Individual Hlth,Prescription,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
Progressive Direct Insurance Company,900449,01/29/2019,02/27/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,580.00,Closed
LM General Insurance Company,803304,07/18/2018,08/07/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,0.00,Closed
Time Insurance Company II,602328,05/20/2016,06/08/2016,Short Term Medical,Out-Patient,Unfair Claims Practice,Eligibility of Provider,Contract Provision,Furnished Information,0.00,Closed
Aetna Life Insurance Company,405509,11/07/2014,01/08/2015,Group Health,Other,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",801425,03/22/2018,06/27/2018,,,Utilization Review,Medical Necessity,Furnished Information,Furnished Information,0.00,Closed
Time Insurance Company II,500229,01/15/2015,10/15/2015,Individual Health,Chiropractic,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
Time Insurance Company II,501098,03/09/2015,04/13/2015,Group/Association Trust,No SubCov - AH,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
Aetna Life Insurance Company,405748,11/20/2014,01/02/2015,Group Health,Other,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
CSAA Fire & Casualty Insurance Company,803386,07/24/2018,08/07/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Travelers Property Casualty Company of America,805326,11/13/2018,12/06/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Offer,Refer To Appraisal,Unjustified,0.00,Closed
Time Insurance Company II,800553,01/31/2018,02/26/2018,Dental,No SubCov - AH,Marketing/Sales,Misrepresentation,Company Position Upheld,Furnished Information,0.00,Closed
Aetna Life Insurance Company,405936,12/02/2014,01/16/2015,Individual Health,Other,Unfair Claims Practice,Claim Procedure,Claim Settled,Justified,532.00,Closed
Aetna Life Insurance Company,405982,12/04/2014,01/08/2015,Individual Health,Emergency,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",804021,08/23/2018,10/04/2018,Exchange-Individual Hlth,No SubCov - AH,Unfair Claims Practice,Coordination of Benefit,Claim Settled,Furnished Information,0.00,Closed
UnitedHealthcare Insurance Company,801159,03/08/2018,04/03/2018,Group Health,Out-Patient,Utilization Review,Medical Necessity,Claim Settled,Voluntary Reconsider,2427.00,Closed
Aetna Life Insurance Company,406009,12/08/2014,01/16/2015,Dental,Dental,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
Aetna Life Insurance Company,406067,12/10/2014,01/13/2015,Group Health,Other,Unfair Claims Practice,Claim Procedure,Additional Money Received,Justified,96.73,Closed
SAFECO Insurance Company of Illinois,803199,07/12/2018,08/07/2018,Auto,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Aetna Life Insurance Company,406248,12/22/2014,01/08/2015,Group Health,Prescription,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Justified,0.00,Closed
Aetna Life Insurance Company,406312,12/30/2014,01/13/2015,Individual Health,Out-Patient,Unfair Claims Practice,Unsatisfactory Settlement,Provider Issue,Furnished Information,0.00,Closed
Aetna Life Insurance Company,406313,12/30/2014,02/19/2015,Group Health,In-Patient,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Justified,134.58,Closed
Progressive Direct Insurance Company,805287,11/08/2018,12/06/2018,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Aetna Life Insurance Company,500100,01/09/2015,04/10/2015,Group Health,Preventative,Unfair Claims Practice,Unsatisfactory Settlement,Furnished Information,Furnished Information,0.00,Closed
Aetna Life Insurance Company,500117,01/12/2015,01/26/2015,Individual Life,Term Life,Unfair Claims Practice,Unsatisfactory Settlement,Contract Provision,Unjustified,0.00,Closed
Aetna Life Insurance Company,500140,01/12/2015,02/05/2015,Group Health,Other,Unfair Claims Practice,Denial of Claim,Contract Provision,Furnished Information,0.00,Closed
Aetna Life Insurance Company,500146,01/12/2015,03/18/2015,Group Health,Durable Medical Equipment,Unfair Claims Practice,Misrepresentation,Contract Provision,Justified,0.00,Closed
GEICO Indemnity Company,704952,10/31/2017,04/04/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
